Name,Default Value,Warband Name,Description
bFakeCharacterShadows,TRUE,rgl_config.txt - enable_character_shadows,Enables fake character shadows (shadows that are cast on collision meshes).
bFakeCharacterShadowsHighQuality,FALSE,,Use sFakeCharacterShadowShaderHighQuality instead sFakeCharacterShadowShader.
fFakeCharacterShadowDetail,0.5,rgl_config.txt - character_shadow_detail,range: 0.0-1.0
iFakeCharacterShadowTextureSize,256,,"values: 64, 128, 256, 512, 1024, 2048"
sFakeCharacterShadowShader,shadow_shader,,
sFakeCharacterShadowShaderHighQuality,shadow_shader_new,,
uFakeCharacterShadowColor,0xff000915,,
fFakeCharacterShadowDepthBias,0.0002,,
fFakeCharacterShadowSlopeScaledDepthBias,2.0,,
